Date,Number of Confirmed Cases
2020-03-11,0
2020-03-12,1
2020-03-13,0
2020-03-14,1
2020-03-15,0
2020-03-16,4
2020-03-17,1
2020-03-18,1
2020-03-19,12
2020-03-20,6
2020-03-21,18
2020-03-22,8
2020-03-23,14
2020-03-24,6
2020-03-25,14
2020-03-26,9
2020-03-27,9
2020-03-28,30
2020-03-29,0
2020-03-30,41
2020-03-31,9
2020-04-01,9
2020-04-02,13
2020-04-03,14
2020-04-04,11
2020-04-05,18
2020-04-06,4
2020-04-07,7
2020-04-08,11
2020-04-09,7
2020-04-10,7
2020-04-11,4
2020-04-12,9
2020-04-13,2
2020-04-14,1
2020-04-15,3
2020-04-16,1
2020-04-17,2
2020-04-18,6
2020-04-19,2
2020-04-20,1
2020-04-21,4
2020-04-22,6
2020-04-23,5
2020-04-24,10
2020-04-25,8
2020-04-26,4
2020-04-27,12
2020-04-28,1
2020-04-29,17
2020-04-30,6
2020-05-01,26
2020-05-02,6
2020-05-03,12
2020-05-04,34
2020-05-05,20
2020-05-06,25
2020-05-07,19
2020-05-08,13
2020-05-09,9
2020-05-10,11
2020-05-11,4
2020-05-12,5
2020-05-13,4
2020-05-14,5
2020-05-15,8
2020-05-16,1
2020-05-17,1
2020-05-18,0
2020-05-19,7
2020-05-20,21
2020-05-21,2
2020-05-22,5
2020-05-23,3
2020-05-24,2
2020-05-25,2
2020-05-26,0
2020-05-27,3
2020-05-28,2
2020-05-29,2
2020-05-30,4
2020-05-31,1
2020-06-01,0
2020-06-02,0
2020-06-03,1
2020-06-04,1
2020-06-05,1
2020-06-06,1
2020-06-07,0
2020-06-08,4
2020-06-09,2
2020-06-10,2
2020-06-11,2
2020-06-12,3
2020-06-13,1
2020-06-14,1
2020-06-15,18
2020-06-16,1
2020-06-17,9
2020-06-18,15
2020-06-19,8
2020-06-20,10
2020-06-21,20
2020-06-22,5
2020-06-23,2
2020-06-24,4
2020-06-25,2
2020-06-26,13
2020-06-27,5
2020-06-28,1
2020-06-29,1
2020-06-30,6
2020-07-01,0
2020-07-02,10
2020-07-03,1
2020-07-04,0
2020-07-05,0
2020-07-06,9
2020-07-07,1
2020-07-08,2
2020-07-09,5
2020-07-10,2
2020-07-11,0
2020-07-12,0
2020-07-13,56
2020-07-14,5
2020-07-15,5
2020-07-16,42
2020-07-17,13
2020-07-18,5
2020-07-19,2
2020-07-20,19
2020-07-21,8
2020-07-22,60
2020-07-23,42
2020-07-24,27
2020-07-25,37
2020-07-26,42
2020-07-27,31
2020-07-28,9
2020-07-29,50
2020-07-30,38
2020-07-31,13
2020-08-01,15
2020-08-02,8
2020-08-03,17
2020-08-04,9
2020-08-05,8
2020-08-06,11
2020-08-07,22
2020-08-08,24
2020-08-09,12
2020-08-10,5
2020-08-11,29
2020-08-12,5
2020-08-13,27
2020-08-14,30
2020-08-15,25
2020-08-16,14
2020-08-17,1
2020-08-18,1
2020-08-19,4
2020-08-20,4
2020-08-21,5
2020-08-22,2
2020-08-23,3
2020-08-24,2
2020-08-25,-1
2020-08-26,2
2020-08-27,5
2020-08-28,2
2020-08-29,4
2020-08-30,0
2020-08-31,4
2020-09-01,3
2020-09-02,2
2020-09-03,10
2020-09-04,4
2020-09-05,5
2020-09-06,8
2020-09-07,11
2020-09-08,7
