Date,Number of Confirmed Cases
2020-03-08,1
2020-03-09,6
2020-03-11,7
2020-03-12,5
2020-03-13,4
2020-03-14,6
2020-03-15,10
2020-03-16,17
2020-03-17,18
2020-03-18,23
2020-03-19,49
2020-03-20,49
2020-03-21,31
2020-03-22,33
2020-03-23,42
2020-03-24,57
2020-03-25,61
2020-03-26,67
2020-03-27,56
2020-03-28,0
2020-03-29,79
2020-03-30,69
2020-03-31,64
2020-04-01,0
2020-04-02,214
2020-04-03,107
2020-04-04,0
2020-04-05,175
2020-04-06,98
2020-04-07,25
2020-04-08,50
2020-04-09,28
2020-04-10,49
2020-04-11,69
2020-04-12,82
2020-04-13,81
2020-04-14,138
2020-04-15,126
2020-04-16,162
2020-04-17,239
2020-04-18,165
2020-04-19,0
2020-04-20,346
2020-04-21,187
2020-04-22,306
2020-04-23,319
2020-04-24,297
2020-04-25,216
2020-04-26,247
2020-04-27,216
2020-04-28,154
2020-04-29,315
2020-04-30,190
2020-05-01,218
2020-05-02,97
2020-05-03,96
2020-05-04,70
2020-05-05,57
2020-05-06,70
2020-05-07,54
2020-05-08,81
2020-05-09,59
2020-05-10,96
2020-05-11,47
2020-05-12,45
2020-05-13,62
2020-05-14,50
2020-05-15,58
2020-05-16,72
2020-05-17,57
2020-05-18,39
2020-05-19,33
2020-05-20,0
2020-05-21,52
2020-05-22,32
2020-05-23,18
2020-05-24,42
2020-05-25,19
2020-05-26,22
2020-05-27,25
2020-05-28,29
2020-05-29,24
2020-05-30,13
2020-05-31,18
2020-06-01,34
2020-06-02,13
2020-06-03,19
2020-06-04,15
2020-06-05,7
2020-06-06,40
2020-06-07,0
2020-06-08,64
2020-06-09,27
2020-06-10,47
2020-06-11,40
2020-06-12,30
2020-06-13,37
2020-06-14,50
2020-06-15,20
2020-06-16,29
2020-06-17,48
2020-06-18,49
2020-06-19,46
2020-06-20,48
2020-06-21,31
2020-06-22,32
2020-06-23,45
2020-06-24,44
2020-06-25,26
2020-06-26,37
2020-06-27,69
2020-06-28,39
2020-06-29,71
2020-06-30,41
