Date,Number of Confirmed Cases
2020-03-11,0
2020-03-12,1
2020-03-13,2
2020-03-14,1
2020-03-15,0
2020-03-16,3
2020-03-17,0
2020-03-18,8
2020-03-19,2
2020-03-20,0
2020-03-21,2
2020-03-22,0
2020-03-23,1
2020-03-24,1
2020-03-25,14
2020-03-26,1
2020-03-27,3
2020-03-28,25
2020-03-29,8
2020-03-30,24
2020-03-31,7
2020-04-01,24
2020-04-02,40
2020-04-03,15
2020-04-04,12
2020-04-05,9
2020-04-06,1
2020-04-07,13
2020-04-08,4
2020-04-09,3
2020-04-10,6
2020-04-11,13
2020-04-12,-1
2020-04-13,3
2020-04-14,0
2020-04-15,0
2020-04-16,4
2020-04-17,0
2020-04-18,3
2020-04-19,0
2020-04-20,1
2020-04-21,1
2020-04-22,2
2020-04-23,5
2020-04-24,1
2020-04-25,4
2020-04-26,4
2020-04-27,1
2020-04-28,0
2020-04-29,1
2020-04-30,2
2020-05-01,4
2020-05-02,1
2020-05-03,1
2020-05-04,0
2020-05-05,1
2020-05-06,2
2020-05-07,-1
2020-05-08,0
2020-05-09,0
2020-05-10,3
2020-05-11,2
2020-05-12,1
2020-05-13,0
2020-05-14,-1
2020-05-15,-1
2020-05-16,-1
2020-05-17,-1
2020-05-18,0
2020-05-19,0
2020-05-20,0
2020-05-21,0
2020-05-22,2
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,2
2020-05-29,0
2020-05-30,0
2020-05-31,1
2020-06-01,0
2020-06-02,2
2020-06-03,1
2020-06-04,0
2020-06-05,2
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,0
2020-06-12,1
2020-06-13,2
2020-06-14,1
2020-06-15,0
2020-06-16,0
2020-06-17,2
2020-06-18,2
2020-06-19,3
2020-06-20,2
2020-06-21,0
2020-06-22,1
2020-06-23,0
2020-06-24,1
2020-06-25,1
2020-06-26,2
2020-06-27,4
2020-06-28,0
2020-06-29,2
2020-06-30,1
2020-07-01,0
2020-07-02,0
2020-07-03,0
2020-07-04,0
2020-07-05,0
2020-07-06,0
2020-07-07,0
2020-07-08,0
2020-07-09,0
2020-07-10,0
2020-07-11,0
2020-07-12,0
2020-07-13,0
2020-07-14,5
2020-07-15,0
2020-07-16,1
2020-07-17,5
2020-07-18,1
2020-07-19,6
2020-07-20,11
2020-07-21,12
2020-07-22,8
2020-07-23,1
2020-07-24,9
2020-07-25,4
2020-07-26,6
2020-07-27,6
2020-07-28,5
2020-07-29,2
2020-07-30,2
2020-07-31,6
2020-08-01,2
2020-08-02,18
2020-08-03,7
2020-08-04,1
2020-08-05,1
2020-08-06,30
2020-08-07,17
2020-08-08,16
2020-08-09,35
2020-08-10,16
2020-08-11,4
2020-08-12,16
2020-08-13,25
2020-08-14,40
2020-08-15,20
2020-08-16,34
2020-08-17,34
2020-08-18,17
2020-08-19,15
2020-08-20,33
2020-08-21,34
2020-08-22,42
2020-08-23,72
2020-08-24,49
2020-08-25,25
2020-08-26,25
2020-08-27,21
2020-08-28,32
2020-08-29,55
2020-08-30,35
2020-08-31,28
2020-09-01,18
2020-09-02,12
2020-09-03,20
2020-09-04,9
2020-09-05,21
2020-09-06,29
2020-09-07,15
